payment_year,hcpcs_cpt_code,included_flag
2023,23184,yes
2023,23190,yes
2023,23195,yes
2023,23200,yes
2023,23210,yes
2023,23220,yes
2023,23330,yes
2023,23333,yes
2023,23334,yes
2023,23335,yes
2023,23395,yes
2023,23397,yes
2023,23400,yes
2023,23405,yes
2023,23406,yes
2023,23410,yes
2023,23412,yes
2023,23415,yes
2023,23420,yes
2023,23430,yes
2023,23440,yes
2023,23450,yes
2023,23455,yes
2023,23460,yes
2023,23462,yes
2023,23465,yes
2023,23466,yes
2023,23470,yes
2023,23472,yes
2023,23473,yes
2023,23474,yes
2023,23480,yes
2023,23485,yes
2023,23490,yes
2023,23491,yes
2023,23500,yes
2023,23505,yes
2023,23515,yes
2023,23520,yes
2023,23525,yes
2023,23530,yes
2023,23532,yes
2023,23540,yes
2023,23545,yes
2023,23550,yes
2023,23552,yes
2023,23570,yes
2023,23575,yes
2023,23585,yes
2023,23600,yes
2023,23605,yes
2023,23615,yes
2023,23616,yes
2023,23620,yes
2023,23625,yes
2023,23630,yes
2023,23650,yes
2023,23655,yes
2023,23660,yes
2023,23665,yes
2023,23670,yes
2023,23675,yes
2023,23680,yes
2023,23700,yes
2023,23800,yes
2023,23802,yes
2023,23900,yes
2023,23920,yes
2023,23921,yes
2023,23929,yes
2023,23930,yes
2023,23931,yes
2023,23935,yes
2023,24000,yes
2023,24006,yes
2023,24071,yes
2023,24073,yes
2023,24075,yes
2023,24076,yes
2023,24077,yes
2023,24079,yes
2023,24100,yes
2023,24101,yes
2023,24102,yes
2023,24105,yes
2023,24110,yes
2023,24115,yes
2023,24116,yes
2023,24120,yes
2023,24125,yes
2023,24126,yes
2023,24130,yes
2023,24134,yes
2023,24136,yes
2023,24138,yes
2023,24140,yes
2023,24145,yes
2023,24147,yes
2023,24149,yes
2023,24150,yes
2023,24152,yes
2023,24155,yes
2023,24160,yes
2023,24164,yes
2023,24200,yes
2023,24201,yes
2023,24300,yes
2023,24301,yes
2023,24305,yes
2023,24310,yes
2023,24320,yes
2023,24330,yes
2023,24331,yes
2023,24332,yes
2023,24340,yes
2023,24341,yes
2023,24342,yes
2023,24343,yes
2023,24344,yes
2023,24345,yes
2023,24346,yes
2023,24357,yes
2023,24358,yes
2023,24359,yes
2023,24360,yes
2023,24361,yes
2023,24362,yes
2023,24363,yes
2023,24365,yes
2023,24366,yes
2023,24370,yes
2023,24371,yes
2023,24400,yes
2023,24410,yes
2023,24420,yes
